State,Area,Map URL,Store Name,Rating,Review Count,Store Status
Johor,Bakri,https://www.google.com/maps/place/KFC+Bandar+Universiti+Pagoh+DT/data=!4m7!3m6!1s0x31d1cb76f264ecaf:0x71d0626b160f6478!8m2!3d2.1514025!4d102.7290044!16s%2Fg%2F11trnmvzp2!19sChIJr-xk8nbL0TEReGQPFmti0HE?authuser=0&hl=en&rclk=1,KFC Bandar Universiti Pagoh DT,4.1,(306),Operating
Johor,Muar,https://www.google.com/maps/place/KFC+Muar+1/data=!4m7!3m6!1s0x31d1b90fa9c10d21:0xec0fe8cbe22627e7!8m2!3d2.0436747!4d102.5670076!16s%2Fg%2F1v9l883k!19sChIJIQ3BqQ-50TER5ycm4svoD-w?authuser=0&hl=en&rclk=1,KFC Muar 1,3.8,(624),Operating
Johor,Muar,https://www.google.com/maps/place/KFC+Muar+2/data=!4m7!3m6!1s0x31d1b9011589d615:0x4ba76930e7af32c6!8m2!3d2.0516937!4d102.5716673!16s%2Fg%2F1hc67gmws!19sChIJFdaJFQG50TERxjKv5zBpp0s?authuser=0&hl=en&rclk=1,KFC Muar 2,3.9,(826),Operating
Johor,Muar,https://www.google.com/maps/place/KFC+K+Mart+Muar/data=!4m7!3m6!1s0x31d1b8e657102ac7:0xa52e1b6c8c4bb1ee!8m2!3d2.0630841!4d102.5563376!16s%2Fg%2F1hc146yp5!19sChIJxyoQV-a40TER7rFLjGwbLqU?authuser=0&hl=en&rclk=1,KFC K Mart Muar,4.1,(470),Operating
Johor,Muar,https://www.google.com/maps/place/KFC+NSK+Muar/data=!4m7!3m6!1s0x31d1b8e65d248465:0x2e745541136d8def!8m2!3d2.0536293!4d102.5675443!16s%2Fg%2F1tdfqnfr!19sChIJZYQkXea40TER741tE0FVdC4?authuser=0&hl=en&rclk=1,KFC NSK Muar,3.6,(251),Operating
Johor,Muar,https://www.google.com/maps/place/KFC+Pekan+Bukit+Pasir+Muar/data=!4m7!3m6!1s0x31d1c834544ae7c3:0x76f9775fe86f0f26!8m2!3d2.0974428!4d102.6347292!16s%2Fg%2F11c0qgr8hc!19sChIJw-dKVDTI0TERJg9v6F93-XY?authuser=0&hl=en&rclk=1,KFC Pekan Bukit Pasir Muar,4.0,(698),Operating
Johor,Muar,https://www.google.com/maps/place/KFC+Bukit+Gambir/data=!4m7!3m6!1s0x31d1cf0760c054a5:0x528abb6a34b821eb!8m2!3d2.2120018!4d102.6526357!16s%2Fg%2F1hc13g6r2!19sChIJpVTAYAfP0TER6yG4NGq7ilI?authuser=0&hl=en&rclk=1,KFC Bukit Gambir,4.1,(650),Operating
Johor,Parit Sulong,"https://www.google.com/maps/search/KFC+near+Parit Sulong,+Johor",KFC Parit Sulong,3.9,(305),Operating
Johor,Ayer Hitam,"https://www.google.com/maps/search/KFC+near+Ayer Hitam,+Johor",KFC Bandar Baru Ayer Hitam Johor,4.0,(933),Operating
Johor,Sri Gading,https://www.google.com/maps/place/KFC+Shell+Parit+Raja/data=!4m7!3m6!1s0x31d059afb16fef4b:0xe876394198a91b22!8m2!3d1.8482056!4d103.0758567!16s%2Fg%2F11g4kwgmw4!19sChIJS-9vsa9Z0DERIhupmEE5dug?authuser=0&hl=en&rclk=1,KFC Shell Parit Raja,3.9,(600),Operating
